2.4,0,1.4;2.4,-0.229712,1.38197;2.43544,0,1.38593|1|1|1
2.43544,0,1.38593;2.4,-0.229712,1.38197;2.43544,-0.227403,1.36807|1|1|1
2.43544,0,1.38593;2.43544,-0.227403,1.36807;2.463,0,1.3804|1|1|1
2.463,0,1.3804;2.43544,-0.227403,1.36807;2.463,-0.226496,1.36262|1|1|1
2.463,0,1.3804;2.463,-0.226496,1.36262;2.48269,0,1.38222|1|1|1
2.48269,0,1.38222;2.463,-0.226496,1.36262;2.48269,-0.226795,1.36442|1|1|1
2.48269,0,1.38222;2.48269,-0.226795,1.36442;2.4945,0,1.3902|1|1|1
2.4945,0,1.3902;2.48269,-0.226795,1.36442;2.4945,-0.228104,1.37229|1|1|1
2.4945,0,1.3902;2.4945,-0.228104,1.37229;2.49844,0,1.40313|1|1|1
2.49844,0,1.40313;2.4945,-0.228104,1.37229;2.49844,-0.230225,1.38505|1|1|1
2.49844,0,1.40313;2.49844,-0.230225,1.38505;2.4945,0,1.4198|1|1|1
2.4945,0,1.4198;2.49844,-0.230225,1.38505;2.4945,-0.232961,1.40151|1|1|1
2.4945,0,1.4198;2.4945,-0.232961,1.40151;2.48269,0,1.43902|1|1|1
2.48269,0,1.43902;2.4945,-0.232961,1.40151;2.48269,-0.236115,1.42049|1|1|1
2.48269,0,1.43902;2.48269,-0.236115,1.42049;2.463,0,1.4596|1|1|1
2.463,0,1.4596;2.48269,-0.236115,1.42049;2.463,-0.239491,1.4408|1|1|1
2.463,0,1.4596;2.463,-0.239491,1.4408;2.43544,0,1.48032|1|1|1
2.43544,0,1.48032;2.463,-0.239491,1.4408;2.43544,-0.242892,1.46126|1|1|1
2.43544,0,1.48032;2.43544,-0.242892,1.46126;2.4,0,1.5|1|1|1
2.4,0,1.5;2.43544,-0.242892,1.46126;2.4,-0.24612,1.48068|1|1|1
2.4,-0.229712,1.38197;2.4,-0.446656,1.32966;2.43544,-0.227403,1.36807|1|1|1
2.43544,-0.227403,1.36807;2.4,-0.446656,1.32966;2.43544,-0.442166,1.3163|1|1|1
2.43544,-0.227403,1.36807;2.43544,-0.442166,1.3163;2.463,-0.226496,1.36262|1|1|1
2.463,-0.226496,1.36262;2.43544,-0.442166,1.3163;2.463,-0.440403,1.31105|1|1|1
