320
0,0.5,0|0,1,0|0.4375,0.1875|
0,0.5,1|0,1,0|0.4375,0.002|
0.19509,0.5,0.980785|0,1,0|0.401311,0.00556433|
0.19509,0.5,0.980785|0.19509,0,0.980785|0.03125,1|
0,0.5,1|0,0,1|0,1|
0,-0.5,1|0,0,1|0,0.375|
0.19509,-0.5,0.980785|0.19509,0,0.980785|0.03125,0.375|
0,-0.5,0|0,-1,0|0.8125,0.1875|
0,-0.5,1|0,-1,0|0.8125,0.002|
0.19509,-0.5,0.980785|0,-1,0|0.776311,0.00556433|
0,0.5,0|0,1,0|0.4375,0.1875|
0.19509,0.5,0.980785|0,1,0|0.401311,0.00556433|
0.382683,0.5,0.92388|0,1,0|0.366512,0.0161203|
0.382683,0.5,0.92388|0.382683,0,0.92388|0.0625,1|
0.19509,0.5,0.980785|0.19509,0,0.980785|0.03125,1|
0.19509,-0.5,0.980785|0.19509,0,0.980785|0.03125,0.375|
0.382683,-0.5,0.92388|0.382683,0,0.92388|0.0625,0.375|
0,-0.5,0|0,-1,0|0.8125,0.1875|
0.19509,-0.5,0.980785|0,-1,0|0.776311,0.00556433|
0.382683,-0.5,0.92388|0,-1,0|0.741512,0.0161203|
0,0.5,0|0,1,0|0.4375,0.1875|
0.382683,0.5,0.92388|0,1,0|0.366512,0.0161203|
0.55557,0.5,0.83147|0,1,0|0.334442,0.0332623|
0.55557,0.5,0.83147|0.55557,0,0.83147|0.09375,1|
0.382683,0.5,0.92388|0.382683,0,0.92388|0.0625,1|
0.382683,-0.5,0.92388|0.382683,0,0.92388|0.0625,0.375|
0.55557,-0.5,0.83147|0.55557,0,0.83147|0.09375,0.375|
0,-0.5,0|0,-1,0|0.8125,0.1875|
0.382683,-0.5,0.92388|0,-1,0|0.741512,0.0161203|
0.55557,-0.5,0.83147|0,-1,0|0.709442,0.0332623|
0,0.5,0|0,1,0|0.4375,0.1875|
0.55557,0.5,0.83147|0,1,0|0.334442,0.0332623|
0.707106,0.5,0.707107|0,1,0|0.306332,0.0563316|
0.707106,0.5,0.707107|0.707106,0,0.707107|0.125,1|
0.55557,0.5,0.83147|0.55557,0,0.83147|0.09375,1|
0.55557,-0.5,0.83147|0.55557,0,0.83147|0.09375,0.375|
0.707106,-0.5,0.707107|0.707106,0,0.707107|0.125,0.375|
0,-0.5,0|0,-1,0|0.8125,0.1875|
0.55557,-0.5,0.83147|0,-1,0|0.709442,0.0332623|
0.707106,-0.5,0.707107|0,-1,0|0.681332,0.0563316|
0,0.5,0|0,1,0|0.4375,0.1875|
0.707106,0.5,0.707107|0,1,0|0.306332,0.0563316|
