0,-0.199605,0.0125581;-0,-0.2,-8.74228e-009;-1.0957e-009,-0.2,-8.67334e-009|0.5|0|0
-1.0957e-009,-0.2,-8.67334e-009;0.00157395,-0.199605,0.0124591;0,-0.199605,0.0125581|1|0|0
0,-0.198423,0.0250666;0,-0.199605,0.0125581;0.00157395,-0.199605,0.0124591|0.5|0|0
0.00157395,-0.199605,0.0124591;0.00314168,-0.198423,0.024869;0,-0.198423,0.0250666|1|0|0
0,-0.196457,0.0374763;0,-0.198423,0.0250666;0.00314168,-0.198423,0.024869|0.5|0|0
0.00314168,-0.198423,0.024869;0.00469702,-0.196457,0.0371808;0,-0.196457,0.0374763|1|0|0
0,-0.193717,0.049738;0,-0.196457,0.0374763;0.00469702,-0.196457,0.0371808|0.5|0|0
0.00469702,-0.196457,0.0371808;0.00623382,-0.193717,0.0493458;0,-0.193717,0.049738|1|0|0
0,-0.190211,0.0618034;0,-0.193717,0.049738;0.00623382,-0.193717,0.0493458|0.5|0|0
0.00623382,-0.193717,0.0493458;0.00774602,-0.190211,0.0613161;0,-0.190211,0.0618034|1|0|0
0,-0.185955,0.0736249;0,-0.190211,0.0618034;0.00774602,-0.190211,0.0613161|0.5|0|0
0.00774602,-0.190211,0.0613161;0.00922765,-0.185955,0.0730444;0,-0.185955,0.0736249|1|0|0
0,-0.180965,0.0851559;0,-0.185955,0.0736249;0.00922765,-0.185955,0.0730444|0.5|0|0
0.00922765,-0.185955,0.0730444;0.0106729,-0.180965,0.0844844;0,-0.180965,0.0851559|1|0|0
0,-0.175261,0.0963508;0,-0.180965,0.0851559;0.0106729,-0.180965,0.0844844|0.5|0|0
0.0106729,-0.180965,0.0844844;0.012076,-0.175261,0.095591;0,-0.175261,0.0963508|1|0|0
0,-0.168866,0.107165;0,-0.175261,0.0963508;0.012076,-0.175261,0.095591|0.5|0|0
0.012076,-0.175261,0.095591;0.0134314,-0.168866,0.10632;0,-0.168866,0.107165|1|0|0
0,-0.161803,0.117557;0,-0.168866,0.107165;0.0134314,-0.168866,0.10632|0.5|0|0
0.0134314,-0.168866,0.10632;0.0147338,-0.161803,0.11663;0,-0.161803,0.117557|1|0|0
0,-0.154103,0.127485;0,-0.161803,0.117557;0.0147338,-0.161803,0.11663|0.5|0|0
0.0147338,-0.161803,0.11663;0.0159781,-0.154103,0.12648;0,-0.154103,0.127485|1|0|0
0,-0.145794,0.136909;0,-0.154103,0.127485;0.0159781,-0.154103,0.12648|0.5|0|0
0.0159781,-0.154103,0.12648;0.0171593,-0.145794,0.13583;0,-0.145794,0.136909|1|0|0
0,-0.136909,0.145794;0,-0.145794,0.136909;0.0171593,-0.145794,0.13583|0.5|0|0
0.0171593,-0.145794,0.13583;0.0182728,-0.136909,0.144644;0,-0.136909,0.145794|1|0|0
0,-0.127485,0.154103;0,-0.136909,0.145794;0.0182728,-0.136909,0.144644|0.5|0|0
0.0182728,-0.136909,0.144644;0.0193142,-0.127485,0.152888;0,-0.127485,0.154103|1|0|0
0,-0.117557,0.161803;0,-0.127485,0.154103;0.0193142,-0.127485,0.152888|0.5|0|0
0.0193142,-0.127485,0.152888;0.0202793,-0.117557,0.160528;0,-0.117557,0.161803|1|0|0
0,-0.107165,0.168866;0,-0.117557,0.161803;0.0202793,-0.117557,0.160528|0.5|0|0
0.0202793,-0.117557,0.160528;0.0211645,-0.107165,0.167534;0,-0.107165,0.168866|1|0|0
0,-0.0963507,0.175261;0,-0.107165,0.168866;0.0211645,-0.107165,0.167534|0.5|0|0
0.0211645,-0.107165,0.167534;0.0219661,-0.0963507,0.173879;0,-0.0963507,0.175261|1|0|0
0,-0.0851558,0.180965;0,-0.0963507,0.175261;0.0219661,-0.0963507,0.173879|0.5|0|0
0.0219661,-0.0963507,0.173879;0.022681,-0.0851558,0.179538;0,-0.0851558,0.180965|1|0|0
0,-0.0736248,0.185955;0,-0.0851558,0.180965;0.022681,-0.0851558,0.179538|0.5|0|0
0.022681,-0.0851558,0.179538;0.0233064,-0.0736248,0.184489;0,-0.0736248,0.185955|1|0|0
0,-0.0618033,0.190211;0,-0.0736248,0.185955;0.0233064,-0.0736248,0.184489|0.5|0|0
0.0233064,-0.0736248,0.184489;0.0238398,-0.0618033,0.188711;0,-0.0618033,0.190211|1|0|0
0,-0.0497379,0.193717;0,-0.0618033,0.190211;0.0238398,-0.0618033,0.188711|0.5|0|0
0.0238398,-0.0618033,0.188711;0.0242791,-0.0497379,0.192189;0,-0.0497379,0.193717|1|0|0
0,-0.0374762,0.196457;0,-0.0497379,0.193717;0.0242791,-0.0497379,0.192189|0.5|0|0
0.0242791,-0.0497379,0.192189;0.0246227,-0.0374762,0.194908;0,-0.0374762,0.196457|1|0|0
0,-0.0250666,0.198423;0,-0.0374762,0.196457;0.0246227,-0.0374762,0.194908|0.5|0|0
0.0246227,-0.0374762,0.194908;0.024869,-0.0250666,0.196858;0,-0.0250666,0.198423|1|0|0
0,-0.012558,0.199605;0,-0.0250666,0.198423;0.024869,-0.0250666,0.196858|0.5|0|0
0.024869,-0.0250666,0.196858;0.0250172,-0.012558,0.198031;0,-0.012558,0.199605|1|0|0
0,7.45058e-008,0.2;0,-0.012558,0.199605;0.0250172,-0.012558,0.198031|0.5|0|0
0.0250172,-0.012558,0.198031;0.0250666,7.45058e-008,0.198423;0,7.45058e-008,0.2|1|0|0
0,0.0125582,0.199605;0,7.45058e-008,0.2;0.0250666,7.45058e-008,0.198423|0.5|0|0
0.0250666,7.45058e-008,0.198423;0.0250172,0.0125582,0.198031;0,0.0125582,0.199605|1|0|0
0,0.0250667,0.198423;0,0.0125582,0.199605;0.0250172,0.0125582,0.198031|0.5|0|0
0.0250172,0.0125582,0.198031;0.024869,0.0250667,0.196858;0,0.0250667,0.198423|1|0|0
0,0.0374763,0.196457;0,0.0250667,0.198423;0.024869,0.0250667,0.196858|0.5|0|0
0.024869,0.0250667,0.196858;0.0246226,0.0374763,0.194908;0,0.0374763,0.196457|1|0|0
0,0.049738,0.193717;0,0.0374763,0.196457;0.0246226,0.0374763,0.194908|0.5|0|0
0.0246226,0.0374763,0.194908;0.0242791,0.049738,0.192189;0,0.049738,0.193717|1|0|0
0,0.0618035,0.190211;0,0.049738,0.193717;0.0242791,0.049738,0.192189|0.5|0|0
0.0242791,0.049738,0.192189;0.0238398,0.0618035,0.188711;0,0.0618035,0.190211|1|0|0
0,0.073625,0.185955;0,0.0618035,0.190211;0.0238398,0.0618035,0.188711|0.5|0|0
0.0238398,0.0618035,0.188711;0.0233064,0.073625,0.184489;0,0.073625,0.185955|1|0|0
0,0.0851559,0.180965;0,0.073625,0.185955;0.0233064,0.073625,0.184489|0.5|0|0
0.0233064,0.073625,0.184489;0.022681,0.0851559,0.179538;0,0.0851559,0.180965|1|0|0
0,0.0963508,0.175261;0,0.0851559,0.180965;0.022681,0.0851559,0.179538|0.5|0|0
0.022681,0.0851559,0.179538;0.0219661,0.0963508,0.173879;0,0.0963508,0.175261|1|0|0
0,0.107165,0.168866;0,0.0963508,0.175261;0.0219661,0.0963508,0.173879|0.5|0|0
0.0219661,0.0963508,0.173879;0.0211645,0.107165,0.167534;0,0.107165,0.168866|1|0|0
0,0.117557,0.161803;0,0.107165,0.168866;0.0211645,0.107165,0.167534|0.5|0|0
0.0211645,0.107165,0.167534;0.0202793,0.117557,0.160527;0,0.117557,0.161803|1|0|0
0,0.127485,0.154103;0,0.117557,0.161803;0.0202793,0.117557,0.160527|0.5|0|0
0.0202793,0.117557,0.160527;0.0193142,0.127485,0.152887;0,0.127485,0.154103|1|0|0
0,0.136909,0.145794;0,0.127485,0.154103;0.0193142,0.127485,0.152887|0.5|0|0
0.0193142,0.127485,0.152887;0.0182728,0.136909,0.144644;0,0.136909,0.145794|1|0|0
0,0.145794,0.136909;0,0.136909,0.145794;0.0182728,0.136909,0.144644|0.5|0|0
0.0182728,0.136909,0.144644;0.0171593,0.145794,0.13583;0,0.145794,0.136909|1|0|0
0,0.154103,0.127485;0,0.145794,0.136909;0.0171593,0.145794,0.13583|0.5|0|0
0.0171593,0.145794,0.13583;0.0159781,0.154103,0.126479;0,0.154103,0.127485|1|0|0
0,0.161803,0.117557;0,0.154103,0.127485;0.0159781,0.154103,0.126479|0.5|0|0
0.0159781,0.154103,0.126479;0.0147338,0.161803,0.11663;0,0.161803,0.117557|1|0|0
0,0.168866,0.107165;0,0.161803,0.117557;0.0147338,0.161803,0.11663|0.5|0|0
0.0147338,0.161803,0.11663;0.0134314,0.168866,0.10632;0,0.168866,0.107165|1|0|0
0,0.175261,0.0963506;0,0.168866,0.107165;0.0134314,0.168866,0.10632|0.5|0|0
0.0134314,0.168866,0.10632;0.0120759,0.175261,0.0955909;0,0.175261,0.0963506|1|0|0
