0,-0.294236,0.0585271;-0,-0.3,-1.31134e-008;-5.01829e-009,-0.3,-1.21152e-008|0.5|0|0
-5.01829e-009,-0.3,-1.21152e-008;0.0223973,-0.294236,0.054072;0,-0.294236,0.0585271|1|0|0
0,-0.277164,0.114805;0,-0.294236,0.0585271;0.0223973,-0.294236,0.054072|0.5|0|0
0.0223973,-0.294236,0.054072;0.043934,-0.277164,0.106066;0,-0.277164,0.114805|1|0|0
0,-0.249441,0.166671;0,-0.277164,0.114805;0.043934,-0.277164,0.106066|0.5|0|0
0.043934,-0.277164,0.106066;0.0637823,-0.249441,0.153984;0,-0.249441,0.166671|1|0|0
0,-0.212132,0.212132;0,-0.249441,0.166671;0.0637823,-0.249441,0.153984|0.5|0|0
0.0637823,-0.249441,0.153984;0.0811794,-0.212132,0.195984;0,-0.212132,0.212132|1|0|0
0,-0.166671,0.249441;0,-0.212132,0.212132;0.0811794,-0.212132,0.195984|0.5|0|0
0.0811794,-0.212132,0.195984;0.0954569,-0.166671,0.230453;0,-0.166671,0.249441|1|0|0
0,-0.114805,0.277164;0,-0.166671,0.249441;0.0954569,-0.166671,0.230453|0.5|0|0
0.0954569,-0.166671,0.230453;0.106066,-0.114805,0.256066;0,-0.114805,0.277164|1|0|0
0,-0.0585271,0.294236;0,-0.114805,0.277164;0.106066,-0.114805,0.256066|0.5|0|0
0.106066,-0.114805,0.256066;0.112599,-0.0585271,0.271838;0,-0.0585271,0.294236|1|0|0
0,-8.9407e-009,0.3;0,-0.0585271,0.294236;0.112599,-0.0585271,0.271838|0.5|0|0
0.112599,-0.0585271,0.271838;0.114805,-8.9407e-009,0.277164;0,-8.9407e-009,0.3|1|0|0
0,0.0585271,0.294236;0,-8.9407e-009,0.3;0.114805,-8.9407e-009,0.277164|0.5|0|0
0.114805,-8.9407e-009,0.277164;0.112599,0.0585271,0.271838;0,0.0585271,0.294236|1|0|0
0,0.114805,0.277164;0,0.0585271,0.294236;0.112599,0.0585271,0.271838|0.5|0|0
0.112599,0.0585271,0.271838;0.106066,0.114805,0.256066;0,0.114805,0.277164|1|0|0
0,0.166671,0.249441;0,0.114805,0.277164;0.106066,0.114805,0.256066|0.5|0|0
0.106066,0.114805,0.256066;0.0954569,0.166671,0.230453;0,0.166671,0.249441|1|0|0
0,0.212132,0.212132;0,0.166671,0.249441;0.0954569,0.166671,0.230453|0.5|0|0
0.0954569,0.166671,0.230453;0.0811794,0.212132,0.195984;0,0.212132,0.212132|1|0|0
0,0.249441,0.166671;0,0.212132,0.212132;0.0811794,0.212132,0.195984|0.5|0|0
0.0811794,0.212132,0.195984;0.0637823,0.249441,0.153984;0,0.249441,0.166671|1|0|0
0,0.277164,0.114805;0,0.249441,0.166671;0.0637823,0.249441,0.153984|0.5|0|0
0.0637823,0.249441,0.153984;0.043934,0.277164,0.106066;0,0.277164,0.114805|1|0|0
0,0.294236,0.0585271;0,0.277164,0.114805;0.043934,0.277164,0.106066|0.5|0|0
0.043934,0.277164,0.106066;0.0223974,0.294236,0.054072;0,0.294236,0.0585271|1|0|0
0,0.3,2.26494e-008;0,0.294236,0.0585271;0.0223974,0.294236,0.054072|0.5|0|0
0.0223974,0.294236,0.054072;8.66754e-009,0.3,2.09253e-008;0,0.3,2.26494e-008|1|0|0
-0,0.294236,-0.0585271;0,0.3,2.26494e-008;8.66754e-009,0.3,2.09253e-008|0.5|0|0
8.66754e-009,0.3,2.09253e-008;-0.0223973,0.294236,-0.054072;-0,0.294236,-0.0585271|1|0|0
