160
0,2,0|0,1,0|0.4375,0.1875|
0,2,2|0,1,0|0.4375,0.002|
0.765366,2,1.84776|0,1,0|0.366512,0.0161203|
0.765366,2,1.84776|0.382683,0,0.92388|0.0625,1|
0,2,2|0,0,1|0,1|
0,-2,2|0,0,1|0,0.375|
0.765366,-2,1.84776|0.382683,0,0.92388|0.0625,0.375|
0,-2,0|0,-1,0|0.8125,0.1875|
0,-2,2|0,-1,0|0.8125,0.002|
0.765366,-2,1.84776|0,-1,0|0.741512,0.0161203|
0,2,0|0,1,0|0.4375,0.1875|
0.765366,2,1.84776|0,1,0|0.366512,0.0161203|
1.41421,2,1.41421|0,1,0|0.306332,0.0563316|
1.41421,2,1.41421|0.707106,0,0.707107|0.125,1|
0.765366,2,1.84776|0.382683,0,0.92388|0.0625,1|
0.765366,-2,1.84776|0.382683,0,0.92388|0.0625,0.375|
1.41421,-2,1.41421|0.707106,0,0.707107|0.125,0.375|
0,-2,0|0,-1,0|0.8125,0.1875|
0.765366,-2,1.84776|0,-1,0|0.741512,0.0161203|
1.41421,-2,1.41421|0,-1,0|0.681332,0.0563316|
0,2,0|0,1,0|0.4375,0.1875|
1.41421,2,1.41421|0,1,0|0.306332,0.0563316|
1.84776,2,0.765369|0,1,0|0.26612,0.116512|
1.84776,2,0.765369|0.923879,0,0.382684|0.1875,1|
1.41421,2,1.41421|0.707106,0,0.707107|0.125,1|
1.41421,-2,1.41421|0.707106,0,0.707107|0.125,0.375|
1.84776,-2,0.765369|0.923879,0,0.382684|0.1875,0.375|
0,-2,0|0,-1,0|0.8125,0.1875|
1.41421,-2,1.41421|0,-1,0|0.681332,0.0563316|
1.84776,-2,0.765369|0,-1,0|0.64112,0.116512|
0,2,0|0,1,0|0.4375,0.1875|
1.84776,2,0.765369|0,1,0|0.26612,0.116512|
2,2,2.53518e-006|0,1,0|0.252,0.1875|
2,2,2.53518e-006|1,0,1.26759e-006|0.25,1|
1.84776,2,0.765369|0.923879,0,0.382684|0.1875,1|
1.84776,-2,0.765369|0.923879,0,0.382684|0.1875,0.375|
2,-2,2.53518e-006|1,0,1.26759e-006|0.25,0.375|
0,-2,0|0,-1,0|0.8125,0.1875|
1.84776,-2,0.765369|0,-1,0|0.64112,0.116512|
2,-2,2.53518e-006|0,-1,0|0.627,0.1875|
0,2,0|0,1,0|0.4375,0.1875|
2,2,2.53518e-006|0,1,0|0.252,0.1875|
1.84776,2,-0.765364|0,1,0|0.26612,0.258487|
1.84776,2,-0.765364|0.92388,0,-0.382682|0.3125,1|
2,2,2.53518e-006|1,0,1.26759e-006|0.25,1|
2,-2,2.53518e-006|1,0,1.26759e-006|0.25,0.375|
1.84776,-2,-0.765364|0.92388,0,-0.382682|0.3125,0.375|
0,-2,0|0,-1,0|0.8125,0.1875|
2,-2,2.53518e-006|0,-1,0|0.627,0.1875|
1.84776,-2,-0.765364|0,-1,0|0.64112,0.258487|
0,2,0|0,1,0|0.4375,0.1875|
1.84776,2,-0.765364|0,1,0|0.26612,0.258487|
1.41422,2,-1.41421|0,1,0|0.306331,0.318668|
1.41422,2,-1.41421|0.707108,0,-0.707105|0.375,1|
1.84776,2,-0.765364|0.92388,0,-0.382682|0.3125,1|
1.84776,-2,-0.765364|0.92388,0,-0.382682|0.3125,0.375|
1.41422,-2,-1.41421|0.707108,0,-0.707105|0.375,0.375|
0,-2,0|0,-1,0|0.8125,0.1875|
1.84776,-2,-0.765364|0,-1,0|0.64112,0.258487|
1.41422,-2,-1.41421|0,-1,0|0.681331,0.318668|
0,2,0|0,1,0|0.4375,0.1875|
1.41422,2,-1.41421|0,1,0|0.306331,0.318668|
0.765371,2,-1.84776|0,1,0|0.366512,0.35888|
0.765371,2,-1.84776|0.382685,0,-0.923879|0.4375,1|
1.41422,2,-1.41421|0.707108,0,-0.707105|0.375,1|
1.41422,-2,-1.41421|0.707108,0,-0.707105|0.375,0.375|
0.765371,-2,-1.84776|0.382685,0,-0.923879|0.4375,0.375|
0,-2,0|0,-1,0|0.8125,0.1875|
1.41422,-2,-1.41421|0,-1,0|0.681331,0.318668|
0.765371,-2,-1.84776|0,-1,0|0.741512,0.35888|
0,2,0|0,1,0|0.4375,0.1875|
0.765371,2,-1.84776|0,1,0|0.366512,0.35888|
5.07036e-006,2,-2|0,1,0|0.4375,0.373|
5.07036e-006,2,-2|2.53518e-006,0,-1|0.5,1|
0.765371,2,-1.84776|0.382685,0,-0.923879|0.4375,1|
0.765371,-2,-1.84776|0.382685,0,-0.923879|0.4375,0.375|
5.07036e-006,-2,-2|2.53518e-006,0,-1|0.5,0.375|
0,-2,0|0,-1,0|0.8125,0.1875|
0.765371,-2,-1.84776|0,-1,0|0.741512,0.35888|
5.07036e-006,-2,-2|0,-1,0|0.8125,0.373|
0,2,0|0,1,0|0.4375,0.1875|
5.07036e-006,2,-2|0,1,0|0.4375,0.373|
