0,-1,0;0.309017,-1,0.951057;0,-1,1|0|1|0
0,1,0;0,-1,1;0.309017,-1,0.951057|0|0.5|0
0,-1,0;0.587785,-1,0.809017;0.309017,-1,0.951057|0|1|0
0,1,0;0.309017,-1,0.951057;0.587785,-1,0.809017|0|0.5|0
0,-1,0;0.809017,-1,0.587785;0.587785,-1,0.809017|0|1|0
0,1,0;0.587785,-1,0.809017;0.809017,-1,0.587785|0|0.5|0
0,-1,0;0.951057,-1,0.309017;0.809017,-1,0.587785|0|1|0
0,1,0;0.809017,-1,0.587785;0.951057,-1,0.309017|0|0.5|0
0,-1,0;1,-1,-4.37114e-008;0.951057,-1,0.309017|0|1|0
0,1,0;0.951057,-1,0.309017;1,-1,-4.37114e-008|0|0.5|0
0,-1,0;0.951056,-1,-0.309017;1,-1,-4.37114e-008|0|1|0
0,1,0;1,-1,-4.37114e-008;0.951056,-1,-0.309017|0|0.5|0
0,-1,0;0.809017,-1,-0.587785;0.951056,-1,-0.309017|0|1|0
0,1,0;0.951056,-1,-0.309017;0.809017,-1,-0.587785|0|0.5|0
0,-1,0;0.587785,-1,-0.809017;0.809017,-1,-0.587785|0|1|0
0,1,0;0.809017,-1,-0.587785;0.587785,-1,-0.809017|0|0.5|0
0,-1,0;0.309017,-1,-0.951057;0.587785,-1,-0.809017|0|1|0
0,1,0;0.587785,-1,-0.809017;0.309017,-1,-0.951057|0|0.5|0
0,-1,0;-8.74228e-008,-1,-1;0.309017,-1,-0.951057|0|1|0
0,1,0;0.309017,-1,-0.951057;-8.74228e-008,-1,-1|0|0.5|0
0,-1,0;-0.309017,-1,-0.951057;-8.74228e-008,-1,-1|0|1|0
0,1,0;-8.74228e-008,-1,-1;-0.309017,-1,-0.951057|0|0.5|0
0,-1,0;-0.587785,-1,-0.809017;-0.309017,-1,-0.951057|0|1|0
0,1,0;-0.309017,-1,-0.951057;-0.587785,-1,-0.809017|0|0.5|0
0,-1,0;-0.809017,-1,-0.587785;-0.587785,-1,-0.809017|0|1|0
0,1,0;-0.587785,-1,-0.809017;-0.809017,-1,-0.587785|0|0.5|0
0,-1,0;-0.951056,-1,-0.309017;-0.809017,-1,-0.587785|0|1|0
0,1,0;-0.809017,-1,-0.587785;-0.951056,-1,-0.309017|0|0.5|0
0,-1,0;-1,-1,1.19249e-008;-0.951056,-1,-0.309017|0|1|0
0,1,0;-0.951056,-1,-0.309017;-1,-1,1.19249e-008|0|0.5|0
0,-1,0;-0.951056,-1,0.309017;-1,-1,1.19249e-008|0|1|0
0,1,0;-1,-1,1.19249e-008;-0.951056,-1,0.309017|0|0.5|0
0,-1,0;-0.809017,-1,0.587785;-0.951056,-1,0.309017|0|1|0
0,1,0;-0.951056,-1,0.309017;-0.809017,-1,0.587785|0|0.5|0
0,-1,0;-0.587785,-1,0.809017;-0.809017,-1,0.587785|0|1|0
0,1,0;-0.809017,-1,0.587785;-0.587785,-1,0.809017|0|0.5|0
0,-1,0;-0.309017,-1,0.951057;-0.587785,-1,0.809017|0|1|0
0,1,0;-0.587785,-1,0.809017;-0.309017,-1,0.951057|0|0.5|0
0,-1,0;1.74846e-007,-1,1;-0.309017,-1,0.951057|0|1|0
0,1,0;-0.309017,-1,0.951057;1.74846e-007,-1,1|0|0.5|0
