0,1.5,0;0,1.5,1;0.0627905,1.5,0.998027|1|0|0
0,1.5,1;0,-1.5,1;0.0627905,1.5,0.998027|0|1|0
0.0627905,1.5,0.998027;0,-1.5,1;0.0627905,-1.5,0.998027|0|1|0
0,-1.5,0;0.0627905,-1.5,0.998027;0,-1.5,1|1|0|0
0,1.5,0;0.0627905,1.5,0.998027;0.125333,1.5,0.992115|1|0|0
0.0627905,1.5,0.998027;0.0627905,-1.5,0.998027;0.125333,1.5,0.992115|0|1|0
0.125333,1.5,0.992115;0.0627905,-1.5,0.998027;0.125333,-1.5,0.992115|0|1|0
0,-1.5,0;0.125333,-1.5,0.992115;0.0627905,-1.5,0.998027|1|0|0
0,1.5,0;0.125333,1.5,0.992115;0.187381,1.5,0.982287|1|0|0
0.125333,1.5,0.992115;0.125333,-1.5,0.992115;0.187381,1.5,0.982287|0|1|0
0.187381,1.5,0.982287;0.125333,-1.5,0.992115;0.187381,-1.5,0.982287|0|1|0
0,-1.5,0;0.187381,-1.5,0.982287;0.125333,-1.5,0.992115|1|0|0
0,1.5,0;0.187381,1.5,0.982287;0.24869,1.5,0.968583|1|0|0
0.187381,1.5,0.982287;0.187381,-1.5,0.982287;0.24869,1.5,0.968583|0|1|0
0.24869,1.5,0.968583;0.187381,-1.5,0.982287;0.24869,-1.5,0.968583|0|1|0
0,-1.5,0;0.24869,-1.5,0.968583;0.187381,-1.5,0.982287|1|0|0
0,1.5,0;0.24869,1.5,0.968583;0.309017,1.5,0.951057|1|0|0
0.24869,1.5,0.968583;0.24869,-1.5,0.968583;0.309017,1.5,0.951057|0|1|0
0.309017,1.5,0.951057;0.24869,-1.5,0.968583;0.309017,-1.5,0.951057|0|1|0
0,-1.5,0;0.309017,-1.5,0.951057;0.24869,-1.5,0.968583|1|0|0
0,1.5,0;0.309017,1.5,0.951057;0.368125,1.5,0.929776|1|0|0
0.309017,1.5,0.951057;0.309017,-1.5,0.951057;0.368125,1.5,0.929776|0|1|0
