0,1,0;0,1,1;0.382683,1,0.92388|1|0|0
0,1,1;0,-1,1;0.382683,1,0.92388|0|1|0
0.382683,1,0.92388;0,-1,1;0.382683,-1,0.92388|0|1|0
0,-1,0;0.382683,-1,0.92388;0,-1,1|1|0|0
0,1,0;0.382683,1,0.92388;0.707107,1,0.707107|1|0|0
0.382683,1,0.92388;0.382683,-1,0.92388;0.707107,1,0.707107|0|1|0
0.707107,1,0.707107;0.382683,-1,0.92388;0.707107,-1,0.707107|0|1|0
0,-1,0;0.707107,-1,0.707107;0.382683,-1,0.92388|1|0|0
0,1,0;0.707107,1,0.707107;0.92388,1,0.382683|1|0|0
0.707107,1,0.707107;0.707107,-1,0.707107;0.92388,1,0.382683|0|1|0
0.92388,1,0.382683;0.707107,-1,0.707107;0.92388,-1,0.382683|0|1|0
0,-1,0;0.92388,-1,0.382683;0.707107,-1,0.707107|1|0|0
0,1,0;0.92388,1,0.382683;1,1,-4.37114e-008|1|0|0
0.92388,1,0.382683;0.92388,-1,0.382683;1,1,-4.37114e-008|0|1|0
1,1,-4.37114e-008;0.92388,-1,0.382683;1,-1,-4.37114e-008|0|1|0
0,-1,0;1,-1,-4.37114e-008;0.92388,-1,0.382683|1|0|0
0,1,0;1,1,-4.37114e-008;0.92388,1,-0.382684|1|0|0
1,1,-4.37114e-008;1,-1,-4.37114e-008;0.92388,1,-0.382684|0|1|0
0.92388,1,-0.382684;1,-1,-4.37114e-008;0.92388,-1,-0.382684|0|1|0
0,-1,0;0.92388,-1,-0.382684;1,-1,-4.37114e-008|1|0|0
0,1,0;0.92388,1,-0.382684;0.707107,1,-0.707107|1|0|0
0.92388,1,-0.382684;0.92388,-1,-0.382684;0.707107,1,-0.707107|0|1|0
0.707107,1,-0.707107;0.92388,-1,-0.382684;0.707107,-1,-0.707107|0|1|0
0,-1,0;0.707107,-1,-0.707107;0.92388,-1,-0.382684|1|0|0
0,1,0;0.707107,1,-0.707107;0.382683,1,-0.92388|1|0|0
0.707107,1,-0.707107;0.707107,-1,-0.707107;0.382683,1,-0.92388|0|1|0
0.382683,1,-0.92388;0.707107,-1,-0.707107;0.382683,-1,-0.92388|0|1|0
0,-1,0;0.382683,-1,-0.92388;0.707107,-1,-0.707107|1|0|0
0,1,0;0.382683,1,-0.92388;-8.74228e-008,1,-1|1|0|0
0.382683,1,-0.92388;0.382683,-1,-0.92388;-8.74228e-008,1,-1|0|1|0
-8.74228e-008,1,-1;0.382683,-1,-0.92388;-8.74228e-008,-1,-1|0|1|0
0,-1,0;-8.74228e-008,-1,-1;0.382683,-1,-0.92388|1|0|0
0,1,0;-8.74228e-008,1,-1;-0.382683,1,-0.92388|1|0|0
-8.74228e-008,1,-1;-8.74228e-008,-1,-1;-0.382683,1,-0.92388|0|1|0
-0.382683,1,-0.92388;-8.74228e-008,-1,-1;-0.382683,-1,-0.92388|0|1|0
0,-1,0;-0.382683,-1,-0.92388;-8.74228e-008,-1,-1|1|0|0
0,1,0;-0.382683,1,-0.92388;-0.707107,1,-0.707107|1|0|0
-0.382683,1,-0.92388;-0.382683,-1,-0.92388;-0.707107,1,-0.707107|0|1|0
-0.707107,1,-0.707107;-0.382683,-1,-0.92388;-0.707107,-1,-0.707107|0|1|0
0,-1,0;-0.707107,-1,-0.707107;-0.382683,-1,-0.92388|1|0|0
0,1,0;-0.707107,1,-0.707107;-0.92388,1,-0.382683|1|0|0
-0.707107,1,-0.707107;-0.707107,-1,-0.707107;-0.92388,1,-0.382683|0|1|0
-0.92388,1,-0.382683;-0.707107,-1,-0.707107;-0.92388,-1,-0.382683|0|1|0
0,-1,0;-0.92388,-1,-0.382683;-0.707107,-1,-0.707107|1|0|0
0,1,0;-0.92388,1,-0.382683;-1,1,1.19249e-008|1|0|0
-0.92388,1,-0.382683;-0.92388,-1,-0.382683;-1,1,1.19249e-008|0|1|0
-1,1,1.19249e-008;-0.92388,-1,-0.382683;-1,-1,1.19249e-008|0|1|0
0,-1,0;-1,-1,1.19249e-008;-0.92388,-1,-0.382683|1|0|0
0,1,0;-1,1,1.19249e-008;-0.923879,1,0.382684|1|0|0
-1,1,1.19249e-008;-1,-1,1.19249e-008;-0.923879,1,0.382684|0|1|0
-0.923879,1,0.382684;-1,-1,1.19249e-008;-0.923879,-1,0.382684|0|1|0
0,-1,0;-0.923879,-1,0.382684;-1,-1,1.19249e-008|1|0|0
0,1,0;-0.923879,1,0.382684;-0.707107,1,0.707107|1|0|0
-0.923879,1,0.382684;-0.923879,-1,0.382684;-0.707107,1,0.707107|0|1|0
-0.707107,1,0.707107;-0.923879,-1,0.382684;-0.707107,-1,0.707107|0|1|0
0,-1,0;-0.707107,-1,0.707107;-0.923879,-1,0.382684|1|0|0
0,1,0;-0.707107,1,0.707107;-0.382683,1,0.92388|1|0|0
-0.707107,1,0.707107;-0.707107,-1,0.707107;-0.382683,1,0.92388|0|1|0
-0.382683,1,0.92388;-0.707107,-1,0.707107;-0.382683,-1,0.92388|0|1|0
0,-1,0;-0.382683,-1,0.92388;-0.707107,-1,0.707107|1|0|0
0,1,0;-0.382683,1,0.92388;1.74846e-007,1,1|1|0|0
-0.382683,1,0.92388;-0.382683,-1,0.92388;1.74846e-007,1,1|0|1|0
1.74846e-007,1,1;-0.382683,-1,0.92388;1.74846e-007,-1,1|0|1|0
0,-1,0;1.74846e-007,-1,1;-0.382683,-1,0.92388|1|0|0
