2.4,0,1.4;2.4,-0.446656,1.32966;2.463,0,1.3804|1|1|1
2.463,0,1.3804;2.4,-0.446656,1.32966;2.463,-0.440403,1.31105|1|1|1
2.463,0,1.3804;2.463,-0.440403,1.31105;2.4945,0,1.3902|1|1|1
2.4945,0,1.3902;2.463,-0.440403,1.31105;2.4945,-0.443529,1.32036|1|1|1
2.4945,0,1.3902;2.4945,-0.443529,1.32036;2.4945,0,1.4198|1|1|1
2.4945,0,1.4198;2.4945,-0.443529,1.32036;2.4945,-0.452973,1.34847|1|1|1
2.4945,0,1.4198;2.4945,-0.452973,1.34847;2.463,0,1.4596|1|1|1
2.463,0,1.4596;2.4945,-0.452973,1.34847;2.463,-0.465671,1.38627|1|1|1
2.463,0,1.4596;2.463,-0.465671,1.38627;2.4,0,1.5|1|1|1
2.4,0,1.5;2.463,-0.465671,1.38627;2.4,-0.47856,1.42464|1|1|1
2.4,-0.446656,1.32966;2.4,-0.831488,1.13299;2.463,-0.440403,1.31105|1|1|1
2.463,-0.440403,1.31105;2.4,-0.831488,1.13299;2.463,-0.819847,1.11713|1|1|1
2.463,-0.440403,1.31105;2.463,-0.819847,1.11713;2.4945,-0.443529,1.32036|1|1|1
2.4945,-0.443529,1.32036;2.463,-0.819847,1.11713;2.4945,-0.825668,1.12506|1|1|1
2.4945,-0.443529,1.32036;2.4945,-0.825668,1.12506;2.4945,-0.452973,1.34847|1|1|1
2.4945,-0.452973,1.34847;2.4945,-0.825668,1.12506;2.4945,-0.843248,1.14902|1|1|1
2.4945,-0.452973,1.34847;2.4945,-0.843248,1.14902;2.463,-0.465671,1.38627|1|1|1
2.463,-0.465671,1.38627;2.4945,-0.843248,1.14902;2.463,-0.866886,1.18123|1|1|1
2.463,-0.465671,1.38627;2.463,-0.866886,1.18123;2.4,-0.47856,1.42464|1|1|1
2.4,-0.47856,1.42464;2.463,-0.866886,1.18123;2.4,-0.89088,1.21392|1|1|1
2.4,-0.831488,1.13299;2.4,-1.13299,0.831488;2.463,-0.819847,1.11713|1|1|1
2.463,-0.819847,1.11713;2.4,-1.13299,0.831488;2.463,-1.11713,0.819847|1|1|1
2.463,-0.819847,1.11713;2.463,-1.11713,0.819847;2.4945,-0.825668,1.12506|1|1|1
2.4945,-0.825668,1.12506;2.463,-1.11713,0.819847;2.4945,-1.12506,0.825668|1|1|1
2.4945,-0.825668,1.12506;2.4945,-1.12506,0.825668;2.4945,-0.843248,1.14902|1|1|1
2.4945,-0.843248,1.14902;2.4945,-1.12506,0.825668;2.4945,-1.14902,0.843248|1|1|1
2.4945,-0.843248,1.14902;2.4945,-1.14902,0.843248;2.463,-0.866886,1.18123|1|1|1
2.463,-0.866886,1.18123;2.4945,-1.14902,0.843248;2.463,-1.18123,0.866886|1|1|1
2.463,-0.866886,1.18123;2.463,-1.18123,0.866886;2.4,-0.89088,1.21392|1|1|1
2.4,-0.89088,1.21392;2.463,-1.18123,0.866886;2.4,-1.21392,0.89088|1|1|1
2.4,-1.13299,0.831488;2.4,-1.32966,0.446656;2.463,-1.11713,0.819847|1|1|1
2.463,-1.11713,0.819847;2.4,-1.32966,0.446656;2.463,-1.31105,0.440403|1|1|1
2.463,-1.11713,0.819847;2.463,-1.31105,0.440403;2.4945,-1.12506,0.825668|1|1|1
2.4945,-1.12506,0.825668;2.463,-1.31105,0.440403;2.4945,-1.32036,0.443529|1|1|1
2.4945,-1.12506,0.825668;2.4945,-1.32036,0.443529;2.4945,-1.14902,0.843248|1|1|1
2.4945,-1.14902,0.843248;2.4945,-1.32036,0.443529;2.4945,-1.34847,0.452973|1|1|1
